"pp" "gender" "hasKids" "userPref" "prediction.before" "prediction.after" "prediction.avg" "role" "userPref01" "prediction.before01" "prediction.after01" "prediction.avg1"
"10" 3 "female" "yes" -5 -4.6343364975306 -3.37753401811156 -5.94156674983198 "child" 0 0 0 0
"11" 3 "female" "yes" -5 15.989555311189 23.809642349735 17.7095558300502 "parent" 0 1 1 1
"12" 3 "female" "yes" -4.82 -15.4995057171677 -7.36844569925891 -11.8685037023189 "child" 0 0 0 0
"18" 5 "male" "yes" 3.36 -31.5512078681021 -29.2605662444772 -20.2953807351861 "child" 1 0 0 0
"23" 6 "female" "no" 0.19 7.70330589313551 13.8444745824017 9.50469571739028 "child" 1 1 1 1
"24" 6 "female" "no" 0.0700000000000003 24.9078485762241 -1.83556691225564 -3.22886849630594 "child" 1 1 0 0
"27" 7 "female" "no" -4.68 9.00777270280516 -86.1750476748916 6.70024950914687 "child" 0 1 0 1
"36" 9 "female" "yes" 2.2 -20.375991548575 -39.5340660207739 -6.16129118619386 "child" 1 0 0 0
"37" 10 "female" "no" -1.17 -96.2543823058108 -37.030483138148 -26.6518549005964 "parent" 0 0 0 0
"38" 10 "female" "no" -1.5 -8.7565106986623 -2.8276229584765 -25.1290005604978 "child" 0 0 0 0
"39" 10 "female" "no" -1.55 -16.3347486678184 2.69298916703713 17.6721091767373 "parent" 0 0 1 1
"40" 10 "female" "no" -0.48 52.6256179466992 45.3564939219565 29.3108526453571 "parent" 0 1 1 1
"41" 11 "male" "no" 2.17 5.40635944459427 4.4014154823733 4.60277143988823 "child" 1 1 1 1
"44" 11 "male" "no" 3.42 -25.3620627769038 17.0198574145456 4.89880917811755 "parent" 1 0 1 1
"46" 12 "male" "no" -3.54 -61.2168688662905 32.9111950970408 22.4570975280531 "child" 0 0 1 1
"47" 12 "male" "no" -2.32 8.06749144626977 -56.8367453034896 -62.6602210117172 "child" 0 1 0 0
"49" 13 "female" "yes" 2.52 30.2352262927575 -18.5851601124427 -7.90013141228867 "parent" 1 1 0 0
"50" 13 "female" "yes" -2.54 -78.0213996738807 30.2475601199148 -14.7029628130548 "child" 0 0 1 0
"51" 13 "female" "yes" -4.49 -8.04653080590235 -11.9276937938009 -2.42546287547717 "child" 0 0 0 0
"52" 13 "female" "yes" 2.5 -42.2345242458796 47.477424278185 2.52263063994829 "parent" 1 0 1 1
"53" 14 "female" "yes" 0 11.3961874284037 13.5799910638521 17.9242817341271 "child" 1 1 1 1
"54" 14 "female" "yes" 2.93 -19.5619833657135 -22.1847388394254 -23.2931804111293 "child" 1 0 0 0
"55" 14 "female" "yes" 2.05 -9.76208206830203 -10.652126020283 -6.94432203566652 "parent" 1 0 0 0
"56" 14 "female" "yes" 1.97 8.96994125230653 27.7537448388395 8.23371950113495 "parent" 1 1 1 1
"58" 15 "female" "no" 3.69 172.559933648254 216.455403075955 192.163781316565 "child" 1 1 1 1
"59" 15 "female" "no" 5 -126.680932558944 -169.107281905888 -146.590870455776 "parent" 1 0 0 0
"60" 15 "female" "no" 5 -19.2529027873703 6.11331462167081 -11.0916329950366 "parent" 1 0 1 0
"65" 17 "female" "no" 5 18.7822627568423 54.9662414492678 -0.0263512161444055 "child" 1 1 1 0
"66" 17 "female" "no" 4.41 -5.38025725396645 30.8378779959843 -17.2768205179751 "parent" 1 0 1 0
"67" 17 "female" "no" -4.99 -54.2502076891623 -98.7714494623377 -79.785377797261 "child" 0 0 0 0
"68" 17 "female" "no" 5 -47.5626755221494 -9.64566284913164 -64.1193554219389 "child" 1 0 0 0
"69" 18 "female" "no" 3.37 -11.9758938972953 16.0759313294039 12.3901051649719 "child" 1 0 1 1
"70" 18 "female" "no" 3.1 4.59979065817061 39.7767743164901 24.0868997537466 "parent" 1 1 1 1
"71" 18 "female" "no" 3.09 -11.2033976518914 -21.801208045344 -16.6322478091033 "parent" 1 0 0 0
"73" 19 "female" "yes" -4.9 53.49573283326 6.93082362421411 38.4967788034252 "child" 0 1 1 1
"76" 19 "female" "yes" -4.9 2.27649241490436 -2.62918442233819 -3.54386038184693 "parent" 0 1 0 0
"78" 20 "female" "yes" -5 -78.585191763787 -97.3820556842507 -63.4663580086963 "parent" 0 0 0 0
"80" 20 "female" "yes" -4.68 103.702116227531 68.5547256401213 59.5350752715486 "parent" 0 1 1 1
"81" 21 "female" "yes" -2.4 5.95366126109755 29.1326728890352 8.22983573874805 "child" 0 1 1 1
"83" 21 "female" "yes" 1.48 -67.31973320099 -30.4954554968739 -53.7677421082417 "parent" 1 0 0 0
"84" 21 "female" "yes" -3.52 -35.1213618275063 -82.0962486007798 -56.1319663046802 "child" 0 0 0 0
"90" 23 "female" "no" 0.24 16.6914993725916 27.8000732412826 6.47566467247161 "child" 1 1 1 1
"91" 23 "female" "no" -0.04 7.19197498443103 20.1577722404505 26.3315980854181 "child" 0 1 1 1
"93" 24 "female" "no" 3.52 -42.2876758662492 -23.8838840724039 -49.6554003899358 "parent" 1 0 0 0
"94" 24 "female" "no" 0.94 -41.127187950023 -13.861451737414 -28.8800576763433 "parent" 1 0 0 0
"95" 24 "female" "no" -0.73 -56.2757305183004 -63.4551735850625 -61.2152604275935 "child" 0 0 0 0
"96" 24 "female" "no" -0.04 -0.880283288772375 20.3827954682676 0.549511092393743 "child" 0 0 1 1
"97" 25 "female" "no" -1.9 58.3703267711594 20.0917940774232 52.7862232241045 "parent" 0 1 1 1
"98" 25 "female" "no" 3.87 77.0424677970401 96.2476687951192 74.727570602537 "child" 1 1 1 1
"99" 25 "female" "no" -0.78 24.8187326549777 -18.9388476380574 -19.0897996874687 "parent" 0 1 0 0
"100" 25 "female" "no" 0.45 22.0667403464119 69.1156242992051 54.3376124018401 "parent" 1 1 1 1
"102" 26 "male" "no" -3.63 -69.1352457532385 -62.558510623792 -48.9162919918932 "parent" 0 0 0 0
"104" 26 "male" "no" 4.22 -95.5953491377528 -103.025874549997 -80.4153273229126 "child" 1 0 0 0
"105" 27 "female" "yes" 1.59 -1.13175442221456 -9.96328378892473 -14.3022257612766 "parent" 1 0 0 0
"107" 27 "female" "yes" 2.25 22.0493071631236 8.31648187695731 6.06917003641124 "parent" 1 1 1 1
"108" 27 "female" "yes" 1.58 8.05918327672143 -5.51677470611409 -13.6091703825145 "child" 1 1 0 0
"109" 28 "male" "yes" -0.0499999999999998 -2.72999152452562 19.4439526720495 25.4249090101914 "parent" 0 0 1 1
"110" 28 "male" "yes" -0.04 9.20959644511439 4.24488488427551 -0.0319311615121691 "parent" 0 1 1 0
"111" 28 "male" "yes" 0.0199999999999996 -33.8569445309594 -4.77907212748191 -20.9786601913868 "parent" 1 0 0 0
"112" 28 "male" "yes" 0.37 -3.79201671762165 -8.17903275386744 0.0556414990740137 "child" 1 0 0 1
"113" 29 "female" "no" -4.13 -5.53688718608724 34.4819974072532 9.38710781409927 "child" 0 0 1 1
"115" 29 "female" "no" -1.11 7.88883922926431 -25.529217822937 0.934941360909185 "parent" 0 1 0 1
"117" 30 "female" "no" -4.8 -1.83273333153338 -62.0964793859353 -34.2732546200744 "child" 0 0 0 0
"119" 30 "female" "no" -4.83 -19.9272725507294 -49.5983309291681 -41.7092430402893 "child" 0 0 0 0
"120" 30 "female" "no" 4.73 -19.0456884871473 -52.5962894050907 -39.3682436335052 "parent" 1 0 0 0
"121" 31 "male" "yes" -4.92 -2.38196142589238 10.8476856061211 14.2556902625879 "parent" 0 0 1 1
