pp;age;gender;hasKids;s1a;s1b;r1;s2a;s2b;r2;s3a;s3b;r3;s4a;s4b;r4
1;22;male;no;7;15;NA;10;1;NA;12;4;NA;5;16;NA
2;25;female;no;14;6;NA;13;8;NA;11;3;NA;2;9;NA
3;28;female;yes;13;8;NA;6;14;0;2;9;0;3;11;0.18
4;19;male;no;9;2;NA;14;6;NA;3;11;NA;8;13;NA
5;22;male;yes;12;4;NA;10;1;8.36;5;16;NA;15;7;NA
6;18;female;no;12;4;NA;1;10;NA;16;5;5.19;15;7;5.07
7;51;female;no;12;4;NA;15;7;NA;1;10;0.32;16;5;NA
8;20;male;no;15;7;NA;5;16;NA;12;4;NA;10;1;NA
9;40;female;yes;15;7;NA;10;1;NA;16;5;NA;12;4;7.2
10;36;female;no;14;6;3.83;2;9;3.5;13;8;3.45;11;3;4.52
11;18;male;no;5;16;7.17;10;1;NA;15;7;NA;4;12;8.42
12;19;male;no;6;14;NA;3;11;1.46;2;9;2.68;13;8;NA
13;26;female;yes;6;14;7.52;9;2;2.46;8;13;0.51;11;3;7.5
14;44;female;yes;9;2;5;3;11;7.93;13;8;7.05;14;6;6.97
15;24;female;no;11;3;NA;13;8;8.69;2;9;10;14;6;10
16;53;female;no;11;3;NA;6;14;NA;8;13;NA;2;9;NA
17;32;female;no;12;4;10;10;1;9.41;5;16;0.01;15;7;10
18;31;female;no;2;9;8.37;6;14;8.1;8;13;8.09;11;3;NA
19;34;female;yes;8;13;0.1;11;3;NA;14;6;NA;2;9;0.1
20;37;female;yes;2;9;NA;3;11;0;14;6;NA;8;13;0.32
21;35;female;yes;6;14;2.6;3;11;NA;13;8;6.48;2;9;1.48
22;30;female;no;14;6;NA;13;8;NA;11;3;NA;9;2;NA
23;20;female;no;13;8;NA;2;9;5.24;11;3;4.96;14;6;NA
24;25;female;no;6;14;8.52;3;11;5.94;2;9;4.27;8;13;4.96
25;41;female;no;4;12;3.1;16;5;8.87;1;10;4.22;15;7;5.45
26;28;male;no;10;1;NA;7;15;1.37;5;16;NA;4;12;9.22
27;44;female;yes;13;8;6.59;14;6;NA;9;2;7.25;3;11;6.58
28;29;male;yes;14;6;4.95;11;3;4.96;9;2;5.02;8;13;5.37
29;19;female;no;12;4;0.87;5;16;NA;1;10;3.89;7;15;NA
30;20;female;no;1;10;0.2;7;15;NA;4;12;0.17;5;16;9.73
31;26;male;yes;8;13;0.08;2;9;9.9;6;14;2.37;11;3;3.12
32;52;female;yes;5;16;3.85;1;10;2.49;15;7;NA;12;4;8.98
33;33;male;no;16;5;3.71;7;15;9.52;12;4;9.4;1;10;7.81
