Frnd,Priv,Saf,Ind,Res
85,62,77,87,49
65,71,61,66,97
64,65,67,69,95
85,62,77,66,70
85,71,58,59,87
72,58,80,63,87
5,80,125,26,124
8,57,136,70,89
67,51,104,73,65
122,21,58,85,74
39,52,62,106,101
120,43,63,45,89
116,23,70,84,67
89,50,62,81,78
295,6,6,29,24
64,74,86,59,77
134,7,159,8,52
59,72,82,82,65
84,62,63,70,81
107,90,9,147,7
24,164,26,109,37
88,61,89,54,68
66,68,61,81,84
62,59,80,55,104
31,63,131,20,115
19,138,10,57,136
44,86,86,33,111
70,79,60,63,88
78,76,72,84,50
36,97,43,80,104
73,76,72,76,63
31,76,111,65,77
66,74,72,44,104
67,92,55,65,81
8,142,5,91,114
91,40,57,81,91
67,95,72,83,43
139,37,62,60,62
13,127,16,71,133
39,73,43,103,102
114,25,80,82,59
66,106,46,117,25
78,66,66,68,82
70,86,71,70,63
102,29,59,60,110
171,17,32,70,70
189,14,58,30,69
85,75,118,44,38
34,87,82,110,47
83,51,74,85,67
46,153,113,9,39
80,71,65,58,86
87,59,79,83,52
123,27,66,85,59
66,67,75,69,83
67,58,68,62,105
103,47,66,73,71
80,79,55,64,82
55,90,83,68,64
17,146,12,101,84
118,9,92,130,11
82,58,57,62,101
26,14,121,23,176
225,7,9,113,6
68,59,85,79,69
68,49,102,55,86
84,106,81,35,54
41,97,81,49,92
42,111,57,85,65
43,93,43,87,94
7,184,7,139,23
61,84,57,87,71
83,55,62,77,83
61,66,72,80,81
82,67,78,65,68
59,82,69,79,71
236,15,23,30,56
22,93,45,114,86
80,80,49,71,80
64,36,109,79,72
61,66,79,64,90
56,9,152,10,133
70,114,17,133,26
112,41,71,78,58
46,135,40,42,97
70,67,106,25,92
67,6,138,79,70
43,14,12,33,258
145,9,77,61,68
80,63,57,67,93
53,82,77,66,82
106,52,120,49,33
69,104,46,87,54
61,87,80,46,86
91,54,79,76,60
26,81,126,5,122
73,84,69,64,70
66,72,70,110,42
44,72,56,73,115
81,9,69,116,85
74,160,11,88,27
87,54,102,50,67
40,131,142,25,22
117,22,62,88,71
71,87,64,61,77
31,127,40,86,76
36,121,52,115,36
73,69,78,86,54
90,72,86,73,39
46,45,87,106,76
39,86,116,50,69
127,24,63,68,78
276,9,15,8,52
110,12,69,78,91
80,58,65,74,83
82,67,67,136,8
43,18,141,68,90
73,60,60,67,100
70,84,67,73,66
6,7,191,9,147
18,54,151,21,116
69,69,78,59,85
82,62,83,62,71
59,41,112,74,74
73,67,62,88,70
25,29,44,129,133
11,74,82,93,100
43,58,106,42,111
74,59,74,71,82
87,72,68,75,58
68,67,85,78,62
61,65,85,59,90
83,61,58,81,77
75,32,66,88,99
22,19,123,73,123
80,54,54,62,110
63,80,85,72,60
86,63,85,81,45
24,22,179,37,98
94,44,49,81,92
11,42,107,114,86
66,63,66,85,80
76,82,62,66,74
66,73,73,74,74
85,31,108,36,100
45,66,91,79,79
46,125,46,60,83
50,127,80,8,95
67,130,35,97,31
78,36,36,157,53
68,98,94,8,92
68,76,76,67,73
165,18,38,61,78
60,84,59,79,78
62,77,85,86,50
61,69,80,60,90
6,7,181,5,161
30,72,116,65,77
72,86,66,78,58
43,85,67,95,70
83,91,88,40,58
98,13,76,66,107
94,35,79,60,92
169,33,31,120,7
70,126,29,104,31
45,65,66,66,118
87,79,59,68,67
156,8,81,107,8
13,113,58,72,104
50,69,68,74,99
69,71,60,81,79
83,99,48,70,60
9,60,62,77,152
45,106,58,111,40
37,75,118,25,105
161,15,31,96,57
86,63,85,58,68
7,102,57,61,133
80,73,57,73,77
60,63,73,69,95
16,147,27,79,91
32,45,125,32,126
83,84,75,57,61
62,63,87,77,71
107,39,60,88,66
6,226,6,29,93
67,60,61,62,110
62,12,92,104,90
125,55,59,64,57
94,37,80,76,73
55,66,97,87,55
64,8,63,64,161
74,73,75,77,61
67,46,64,73,110
130,9,78,74,69
43,22,111,95,89
55,60,84,70,91
82,57,80,81,60
85,73,64,66,72
27,56,135,19,123
31,108,53,102,66
59,72,90,63,76
76,90,104,18,72
86,68,74,71,61
80,83,66,64,67
39,119,74,21,107
50,88,120,25,77
74,64,70,75,77
83,47,60,86,84
64,68,80,69,79
31,139,90,19,81
7,5,154,6,188
91,27,119,27,96
88,55,110,55,52
45,86,97,36,96
45,86,97,36,96
46,54,104,54,102
85,8,79,65,123
129,16,62,39,114
8,79,24,81,168
64,65,74,84,73
67,82,81,70,60
86,65,68,68,73
87,82,62,57,72
49,96,47,81,87
38,45,63,100,114
82,45,102,58,73
73,60,61,80,86
48,61,73,61,117
32,62,122,26,118
95,58,67,86,54
187,8,26,57,82
74,71,61,75,79
110,52,71,64,63
53,66,78,67,96
35,57,86,57,125
31,32,139,75,83
94,32,67,84,83
33,131,8,93,95
167,12,18,151,12
41,68,66,70,115
65,71,85,71,68
38,57,72,61,132
151,11,66,85,47
11,216,8,115,10
37,43,123,86,71
101,41,99,37,82
20,64,80,84,112
18,116,59,121,46
67,76,72,77,68
65,77,80,78,60
65,77,80,78,60
21,148,42,126,23
123,5,85,72,75
105,18,76,65,96
88,39,62,78,93
199,5,82,46,28
101,45,104,40,70
7,61,130,6,156
57,80,70,70,83
57,110,80,60,53
6,110,95,79,70
21,75,64,73,127
85,164,32,25,54
19,15,160,7,159
58,88,77,80,57
71,71,87,64,67
27,19,163,72,79
59,85,82,54,80
51,65,46,83,115
10,74,86,87,103
55,76,70,68,91
63,74,107,47,69
110,41,76,83,50
29,66,89,45,131
58,69,69,75,89
90,40,86,79,65
69,90,104,18,79
87,58,81,60,74
82,64,107,37,70
23,83,14,62,178
88,44,68,63,97
54,82,34,103,87
53,128,33,111,35
33,119,21,76,111
118,37,48,88,69
134,15,78,118,15
62,73,64,57,104
64,80,65,78,73
57,110,30,55,108
9,47,97,104,103
65,64,75,61,95
80,70,37,85,88
78,68,58,90,66
76,74,71,67,72
103,147,15,59,36
12,6,213,124,5
128,51,57,64,60
48,79,89,47,97
71,64,59,78,88
72,87,57,56,88
61,72,63,77,87
81,75,75,84,45
14,169,21,15,141
81,63,70,66,80
32,67,70,57,134
68,54,84,70,84
81,54,72,68,85
16,19,119,85,121
121,8,52,50,129
52,50,77,82,99
62,72,78,105,43
47,70,86,73,84
50,51,57,63,139
36,104,63,80,77
75,80,81,62,62
67,107,28,103,55
95,57,67,74,67
72,85,55,65,83
73,66,58,65,98
15,43,151,8,143
130,27,58,65,80
75,67,70,65,83
106,37,52,88,77
17,127,85,45,86
85,87,57,67,64
68,76,88,106,22
85,98,51,75,51
87,67,82,65,59
40,76,104,45,95
21,92,165,7,75
55,59,63,94,89
54,186,24,77,19
82,82,72,85,39
21,50,40,68,181
67,81,77,54,81
138,13,35,29,145
82,69,44,63,102
79,58,61,83,79
112,41,57,91,59
57,95,57,85,66
6,89,7,54,204
129,6,57,120,48
80,57,26,112,85
51,137,68,88,16
106,66,52,97,39
37,114,27,105,77
66,101,57,78,58
84,78,74,82,42
76,73,65,76,70
76,43,79,72,90
185,24,79,66,6
42,50,102,85,81
82,38,80,78,82
55,122,31,97,55
86,83,24,86,81
70,63,74,66,87
126,40,75,59,60
67,58,84,58,93
10,12,254,51,33
72,58,71,74,85
68,24,119,30,119
80,90,8,94,88
44,92,59,85,80
65,66,100,34,95
75,79,82,60,64
61,82,51,84,82
111,50,90,70,39
68,70,110,33,79
57,112,47,83,61
84,110,62,71,33
