Frnd,Priv,Saf,Ind,Res
87,70,63,61,79
80,71,90,61,58
86,54,81,73,66
82,77,76,74,51
73,72,81,82,52
71,38,124,21,106
24,123,99,64,50
64,86,89,55,66
84,59,65,61,91
85,42,68,131,34
76,79,64,74,67
100,64,72,102,22
68,113,44,97,38
79,60,76,73,72
107,38,74,82,59
58,59,83,65,95
64,95,87,27,87
61,66,84,76,73
78,68,75,53,86
111,106,8,129,6
84,68,82,82,44
77,57,87,81,58
70,83,75,76,56
112,40,84,57,67
80,31,87,96,66
44,65,104,80,67
64,74,75,57,90
104,65,80,78,33
29,104,6,116,105
80,77,80,70,53
102,36,71,73,78
50,83,95,62,70
51,50,107,51,101
103,61,102,24,70
55,43,107,81,74
77,65,96,28,94
81,71,73,50,85
137,6,65,129,23
38,89,89,80,64
66,57,94,44,99
139,19,70,75,57
135,6,71,85,63
59,74,80,69,78
76,57,73,61,93
95,44,103,40,78
106,51,90,45,68
64,32,149,31,84
9,73,63,65,150
22,54,128,16,140
78,54,115,33,80
104,43,107,57,49
59,61,69,86,85
68,61,102,52,77
90,50,82,83,55
87,72,77,58,66
87,82,75,70,46
89,51,82,91,47
100,50,96,56,58
50,81,74,65,90
82,80,66,64,68
105,36,113,43,63
57,100,56,62,85
59,58,84,77,82
104,7,74,78,97
132,23,109,49,47
78,55,87,75,65
93,42,64,91,70
63,63,85,63,86
115,57,94,69,25
68,64,118,9,101
5,5,161,6,183
73,79,45,118,45
52,88,87,45,88
66,72,75,84,63
73,76,65,84,62
52,87,81,62,78
198,14,51,77,20
42,40,120,80,78
85,62,65,86,62
68,41,106,62,83
155,21,69,106,9
42,84,80,78,76
76,57,84,65,78
83,77,56,72,72
68,81,92,50,69
88,75,67,65,65
54,33,167,56,50
54,50,110,48,98
77,15,136,13,119
113,44,78,112,13
48,73,90,59,90
38,40,197,32,53
99,48,64,74,75
66,85,88,43,78
89,75,58,80,58
92,23,99,75,71
54,79,52,89,86
59,82,133,11,75
64,50,91,73,82
14,52,149,17,128
97,25,33,168,37
75,72,70,58,85
109,52,46,122,31
87,46,77,112,38
70,69,60,69,92
56,32,90,90,92
6,6,198,6,144
14,118,73,92,63
71,64,85,79,61
50,86,100,46,78
39,84,106,42,89
86,76,63,86,49
42,30,140,25,123
81,78,70,92,39
87,57,74,83,59
87,40,65,59,109
24,130,58,92,56
64,68,63,81,84
78,76,76,80,50
64,67,109,40,80
20,41,142,43,114
81,78,88,77,36
89,53,61,68,89
77,35,122,66,60
93,49,98,61,59
41,100,89,75,55
71,30,54,111,94
65,77,94,58,66
80,86,87,74,33
9,72,104,72,103
59,74,78,70,79
63,76,84,82,55
91,66,82,62,59
52,82,82,58,86
35,92,106,36,91
93,35,52,105,75
58,56,77,88,81
106,53,83,76,42
45,85,107,44,79
101,7,81,146,25
100,33,109,44,74
93,70,79,75,43
63,67,88,46,96
50,66,81,78,85
61,78,67,63,91
62,67,83,72,76
59,51,98,63,89
103,46,47,120,44
130,15,117,67,31
25,41,102,73,119
100,54,90,81,35
57,73,76,71,83
62,5,134,82,77
127,36,83,58,56
92,47,83,58,80
59,74,83,61,83
25,19,130,48,138
67,81,87,58,67
86,86,65,64,59
65,85,71,81,58
50,68,101,76,65
134,7,59,146,14
111,33,87,92,37
105,106,34,101,14
33,85,98,90,54
76,80,75,66,63
133,34,58,70,65
6,36,140,15,163
51,96,85,64,64
40,83,94,60,83
81,82,78,65,54
99,50,65,78,68
6,81,147,7,119
49,94,85,61,71
96,56,104,23,81
113,26,130,37,54
51,87,78,76,68
52,46,86,61,115
48,48,109,107,48
147,45,89,31,48
68,83,85,71,53
49,60,130,31,90
91,95,30,74,70
61,81,62,80,76
86,61,72,84,57
7,64,183,44,62
73,86,88,76,37
38,36,123,89,74
131,53,44,97,35
84,63,102,60,51
80,78,72,68,62
138,7,140,8,67
70,63,67,80,80
79,47,97,70,67
106,43,96,72,43
56,74,105,91,34
24,74,95,83,84
74,58,63,86,79
60,89,62,82,67
74,66,71,66,83
128,28,98,27,79
89,67,85,58,61
111,46,98,42,63
69,72,72,57,90
91,70,54,94,51
27,122,49,88,74
70,74,75,86,55
85,43,111,34,87
150,9,58,130,13
91,66,81,68,54
142,9,133,15,61
60,75,61,87,77
70,58,92,57,83
80,60,72,67,81
53,106,78,47,76
53,106,78,47,76
53,72,93,61,81
76,83,64,39,98
92,47,115,48,58
31,110,81,65,73
87,80,87,59,47
70,59,77,74,80
71,68,73,60,88
43,91,101,19,106
