Frnd,Priv,Saf,Ind,Res
71,85,73,76,55
59,85,71,68,77
122,25,40,107,66
82,82,65,62,69
71,79,71,74,65
64,87,131,39,39
62,60,118,29,91
32,32,126,54,116
88,56,48,84,84
109,70,34,111,36
7,61,133,86,73
73,76,73,60,78
94,43,85,101,37
88,55,62,81,74
142,42,30,99,47
56,69,83,85,67
70,90,108,41,51
84,75,69,84,48
95,37,89,86,53
132,86,7,129,6
110,57,67,89,37
67,76,76,69,72
72,90,106,29,63
94,27,75,79,85
52,35,117,64,92
61,33,113,72,81
55,74,85,68,78
90,65,59,81,65
71,72,85,87,45
40,48,101,63,108
68,75,58,63,96
48,96,91,76,49
50,88,99,35,88
155,14,146,17,28
38,74,89,84,75
93,62,102,41,62
93,48,90,53,76
131,26,50,90,63
39,100,86,68,67
86,65,99,38,72
125,33,70,91,41
97,36,85,95,47
86,66,82,77,49
43,95,75,35,112
132,33,75,40,80
161,11,92,42,54
121,50,79,58,52
43,86,74,67,90
40,45,100,33,142
47,45,144,30,94
83,122,113,21,21
45,76,71,85,83
68,100,66,70,56
122,30,67,93,48
59,85,58,87,71
68,75,85,87,45
117,52,92,34,65
95,50,81,83,51
84,43,105,40,88
70,51,123,28,88
95,51,80,73,61
66,69,75,78,72
39,48,125,40,108
167,9,47,102,35
64,86,59,80,71
82,72,71,66,69
119,12,64,111,54
74,105,103,38,40
165,42,59,72,22
56,80,83,18,123
5,215,8,5,127
107,76,52,74,51
58,80,76,72,74
71,81,78,83,47
75,77,59,86,63
64,69,80,87,60
202,102,9,14,33
54,48,102,84,72
90,48,81,71,70
49,59,103,36,113
89,53,103,27,88
48,90,66,64,92
55,57,87,84,77
114,76,36,97,37
63,79,104,40,74
89,60,71,63,77
41,40,97,62,120
53,27,115,69,96
98,69,41,59,93
107,65,38,104,46
41,81,100,70,68
72,61,122,59,46
77,31,81,51,120
47,88,111,30,84
79,56,69,56,100
132,15,75,132,6
48,80,78,76,78
88,55,86,34,97
41,71,108,35,105
42,50,108,32,128
196,11,18,107,28
66,82,66,78,68
160,41,38,65,56
129,19,63,116,33
67,83,78,70,62
46,36,90,98,90
64,64,73,61,98
59,44,117,36,104
106,38,80,48,88
53,37,122,56,92
62,72,84,75,67
133,48,23,77,79
41,114,160,8,37
113,53,52,76,66
82,61,77,75,65
115,38,58,116,33
55,106,52,111,36
82,57,75,86,60
81,65,73,59,82
28,103,84,29,116
29,37,135,15,144
58,67,87,60,88
103,57,58,96,46
46,40,131,74,69
92,47,83,70,68
12,29,144,35,140
58,47,71,92,92
58,51,103,54,94
66,70,77,72,75
62,59,130,24,85
60,68,68,81,83
58,60,64,82,96
90,68,72,93,37
26,68,110,59,97
68,64,105,32,91
35,35,45,128,117
70,79,62,85,64
122,8,112,48,70
31,45,159,33,92
105,18,37,142,58
115,26,77,40,102
101,35,100,60,64
69,54,63,89,85
62,71,93,72,62
68,65,80,73,74
59,48,90,56,107
47,55,102,57,99
105,52,54,107,42
145,26,98,76,15
56,35,132,27,110
100,46,91,81,42
65,66,64,80,85
97,11,96,64,92
92,53,69,92,54
88,60,77,73,62
73,59,63,82,83
50,42,104,46,118
57,84,87,53,79
59,57,66,74,104
60,75,95,73,57
93,51,86,68,62
156,7,38,141,18
113,42,59,85,61
146,33,37,118,26
37,86,112,41,84
58,27,116,84,75
74,38,73,80,95
146,65,36,107,6
33,95,91,71,70
47,74,87,56,96
80,83,61,63,73
53,86,91,77,53
42,66,99,50,103
60,82,89,49,80
39,87,107,19,108
145,24,107,21,63
81,76,60,62,81
29,52,107,52,120
112,55,100,82,11
104,39,90,58,69
77,49,83,46,105
34,54,107,52,113
117,75,33,93,42
51,86,81,47,95
101,46,69,60,84
9,40,227,59,25
94,44,94,49,79
35,44,93,84,104
141,49,48,86,36
91,64,84,77,44
56,57,100,66,81
74,8,147,13,118
75,63,93,67,62
54,41,65,87,113
72,81,82,83,42
77,65,107,70,41
40,74,106,64,76
58,68,92,64,78
87,81,66,85,41
55,52,111,52,90
82,76,81,67,54
58,86,61,73,82
101,42,53,74,90
60,69,58,91,82
102,42,82,101,33
31,141,35,67,86
99,87,85,22,67
60,57,79,69,95
79,119,29,74,59
84,57,75,72,72
32,99,62,72,95
57,72,87,71,73
16,62,125,59,98
113,34,81,71,61
75,88,88,34,75
75,88,88,34,75
