X,Y,Z,t
-0.31,5.24,7.309,0
-0.244,4.75,6.578,10
-0.254,4.206,5.92,20
-0.194,3.786,5.259,10
-0.175,3.442,4.698,20
-0.157,3.097,4.263,29
-0.107,2.788,3.802,21
-0.096,2.509,3.456,9
-0.087,2.258,3.076,30
-0.078,1.997,2.769,21
-0.036,1.832,2.457,30
-0.032,1.614,2.211,19
-0.029,1.453,1.956,11
-0.026,1.342,1.76,20
-0.023,1.173,1.619,10
-0.055,1.09,1.526,21
-0.015,0.947,1.373,18
-0.048,0.749,1.236,11
0.059,0.777,1.078,20
-0.015,0.665,0.901,10
0.02,0.667,0.914,39
-0.015,0.532,0.892,11
-0.014,0.513,0.837,19
0.021,0.427,0.753,10
0.019,0.315,0.643,20
0.086,0.284,0.544,10
0.043,0.255,0.49,21
0.004,0.23,0.406,20
0.004,0.241,0.4,30
0.003,0.252,0.395,9
0.003,0.226,0.286,21
-0.031,0.204,0.292,10
-0.028,0.183,0.228,20
-0.025,0.13,0.171,20
-0.022,0.117,0.188,10
-0.02,0.14,0.169,20
-0.053,0.091,0.187,10
-0.013,0.117,0.203,20
-0.011,0.071,0.148,9
-0.01,0.063,0.202,21
0.024,0.023,0.182,30
0.056,0.02,0.163,19
0.051,-0.015,0.113,10
0.08,0.02,0.067,21
0.037,0.018,0.026,19
0.0,0.05,0.057,31
0.034,0.045,0.052,10
-0.003,0.006,0.081,19
-0.003,0.04,0.038,10
-0.003,0.002,0.0,21
0.031,0.036,-0.034,20
0.063,0.067,-0.099,30
-0.012,-0.008,-0.055,9
-0.045,-0.007,-0.015,21
-0.075,0.096,0.055,10
-0.102,0.017,0.049,19
-0.057,0.085,0.182,20
-0.017,-0.026,0.095,11
-0.015,-0.058,0.12,19
-0.014,-0.087,0.211,10
0.056,-0.044,0.225,20
-0.018,-0.143,0.133,11
0.086,-0.094,0.085,19
0.112,-0.153,0.111,21
0.135,-0.138,0.134,10
0.087,-0.193,0.121,20
0.113,-0.174,0.143,10
0.171,-0.087,0.129,20
0.154,-0.147,0.116,20
0.173,-0.133,0.104,10
0.155,-0.085,0.059,19
0.174,-0.111,0.019,10
0.226,-0.1,0.017,21
0.238,-0.159,-0.018,9
0.214,-0.177,0.017,20
0.192,-0.125,0.015,21
0.104,-0.078,0.083,19
0.059,-0.105,0.178,10
0.088,-0.025,0.16,10
0.113,-0.16,0.109,21
0.136,-0.11,0.064,10
0.123,-0.168,0.058,20
0.145,-0.151,0.017,20
0.165,-0.101,0.015,10
0.114,-0.091,0.014,19
0.102,-0.013,0.012,11
0.127,-0.012,0.011,20
0.148,-0.01,0.01,10
0.133,-0.078,0.009,20
0.086,-0.07,0.042,20
0.042,-0.029,0.004,9
0.004,-0.06,0.003,20
0.003,-0.02,0.037,11
